CensusTract,State,Prog1,Prog2,Prog3,Prog4+more,FundingTotal,Projects,CEJST_Indicators,CoveredPrograms,Monitor
13051002700,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051001100,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051001200,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051002000,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051002200,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051002600,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051002800,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051002900,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051003302,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010815,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011110,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010818,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010812,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010503,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010504,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011900,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011113,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011111,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010813,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010814,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011112,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010821,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011115,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010817,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010819,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051004209,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051003400,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051003501,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051003602,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051003800,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051003900,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051004001,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051004002,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010502,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010603,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051004100,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010901,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051003700,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011004,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011104,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010601,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011107,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010807,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011108,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011200,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011500,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13059150800,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059150701,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059150702,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059130602,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059130702,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059130601,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059130701,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059000600,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059000900,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059001700,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059001800,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059001900,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059002100,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059002200,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059030200,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059130400,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059150600,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059140400,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059000401,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059000402,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059130300,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059150400,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059002000,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059000100,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059140300,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059150900,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059001200,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059130500,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059140500,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059150300,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059150500,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13059140600,GA,Bridge Investment Program,Clean School Bus Program,,,31529.41176,Athens-Clarke County Bridge Program; Clarke County Schools,"TD_ET, DS_ET",Clean Transportation,X
13063040634,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,232988.8096,Low or No Emission - MARTA; Clayton County Schools,"TP_ET, DS_ET, N_WKFC","Clean Transportation, Training & Workforce Development",
